,Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
50,Running,2020-05-18 18:07:00,Cherry Hill Running,3.0,274.0,23,135,148,172,180,7:58,7:04,87,82,1.18
51,Running,2020-05-17 17:11:00,Cherry Hill Running,6.22,584.0,45,147,160,168,176,7:22,6:28,191,192,1.29
52,Running,2020-05-15 17:06:00,Cherry Hill Running,2.59,256.0,20,142,158,170,178,8:05,6:54,92,95,1.16
53,Running,2020-05-14 17:11:00,Cherry Hill Running,6.15,602.0,47,146,166,170,176,7:44,7:00,208,213,1.23
54,Running,2020-05-12 16:54:00,Cherry Hill Running,5.01,477.0,37,146,158,170,180,7:32,6:50,142,134,1.25
55,Running,2020-05-11 17:10:00,Cherry Hill Running,6.08,629.0,45,155,161,170,178,7:32,6:18,189,195,1.26
56,Running,2020-05-10 18:25:00,Cherry Hill Running,4.0,396.0,30,148,159,170,198,7:35,6:51,144,148,1.24
57,Running,2020-05-08 17:39:00,Cherry Hill Running,3.1,315.0,24,145,155,174,178,7:55,7:18,76,84,1.17
58,Running,2020-05-07 17:00:00,Cherry Hill Running,5.5,525.0,38,153,173,170,178,7:04,6:31,182,186,1.33
59,Running,2020-05-05 17:37:00,Cherry Hill Running,5.0,471.0,36,146,157,170,178,7:21,6:37,130,133,1.28
60,Running,2020-05-04 16:55:00,Cherry Hill Running,5.01,516.0,37,152,161,170,178,7:35,6:59,148,152,1.26
61,Running,2020-05-01 15:03:00,Cherry Hill Running,5.35,534.0,39,151,169,170,178,7:21,6:38,137,143,1.28
62,Running,2020-04-29 16:59:00,Cherry Hill Running,5.43,523.0,40,146,172,170,176,7:29,6:25,133,136,1.26
63,Running,2020-04-28 17:03:00,Cherry Hill Running,5.0,492.0,37,147,160,168,176,7:32,6:48,164,167,1.26
64,Running,2020-04-27 16:43:00,Cherry Hill Running,5.01,414.0,36,136,166,170,180,7:18,6:30,144,149,1.3
65,Running,2020-04-25 17:25:00,Cherry Hill Running,7.0,718.0,52,154,181,170,178,7:33,4:58,269,261,1.26
66,Running,2020-04-23 16:38:00,Cherry Hill Running,4.0,372.0,30,139,160,168,176,7:36,6:45,118,124,1.26
67,Running,2020-04-21 17:10:00,Cherry Hill Running,4.12,391.0,31,142,161,170,176,7:37,6:07,171,177,1.24
68,Running,2020-04-20 17:46:00,Cherry Hill Running,6.0,614.0,44,151,166,170,176,7:27,6:40,214,208,1.27
69,Running,2020-04-19 16:48:00,Cherry Hill Running,3.19,317.0,24,143,152,170,176,7:42,6:29,93,98,1.23
70,Running,2020-04-17 17:20:00,Cherry Hill Running,3.02,294.0,22,145,157,172,178,7:23,6:25,113,106,1.27
71,Running,2020-04-16 17:34:00,Cherry Hill Running,4.33,377.0,30,141,151,172,188,7:06,5:26,146,150,1.31
72,Running,2020-04-15 14:58:00,Cherry Hill Running,3.04,289.0,22,144,168,170,176,7:33,6:40,97,103,1.26
73,Running,2020-04-14 17:22:00,Cherry Hill Running,5.09,489.0,36,155,173,170,178,7:14,5:13,135,139,1.32
74,Running,2020-04-12 11:02:00,Cherry Hill Running,6.01,608.0,46,152,170,168,174,7:45,6:48,191,186,1.24
75,Running,2020-04-10 16:56:00,Cherry Hill Running,3.01,284.0,23,143,152,170,180,7:44,5:50,112,118,1.23
76,Running,2020-04-09 18:01:00,Cherry Hill Running,3.3,306.0,25,144,158,172,180,7:41,6:25,100,107,1.22
77,Running,2020-04-08 16:18:00,Cherry Hill Running,4.0,409.0,31,151,162,170,178,7:54,7:04,132,135,1.2
78,Running,2020-04-07 17:30:00,Cherry Hill Running,4.42,437.0,33,151,162,168,174,7:40,4:01,188,173,1.25
79,Running,2020-04-04 16:27:00,Cherry Hill Running,5.42,540.0,42,148,173,170,178,7:56,5:36,174,181,1.19
80,Running,2020-04-02 16:13:00,Cherry Hill Running,3.7,319.0,28,137,148,170,176,7:37,6:23,81,88,1.25
81,Running,2020-04-01 16:44:00,Cherry Hill Running,4.28,400.0,32,148,175,168,174,7:40,6:28,106,111,1.25
82,Running,2020-03-31 17:22:00,Cherry Hill Running,4.8,496.0,39,152,161,170,180,8:09,7:02,146,150,1.17
83,Running,2020-03-29 16:27:00,Cherry Hill Running,4.0,383.0,29,157,183,170,176,7:21,6:18,143,149,1.29
84,Running,2020-03-27 15:46:00,Cherry Hill Running,3.02,285.0,22,156,168,170,176,7:24,6:25,86,91,1.28
